Population,Mean_PC1,Std_PC1,Min_PC1,Max_PC1,Windows
ACB,-0.9284098841377064,1.5814356462321613,-32.422822375,22.219656508333333,2896406
ASL,-0.881906302019798,3.8698578376499433,-124.35695,98.62771,2896406
ASW,-0.8169066460271078,1.8060580763746175,-48.192526799999996,36.16789633333333,2896406
BEB,0.4172450532473931,1.1899184602999637,-26.36788477,25.56791184,2896406
CDX,0.5534967569489613,1.635280379096086,-41.70409984,45.353270366,2896406
CHB,0.5653472370993744,1.61216423361794,-40.01502188,52.76280572,2896406
CHS,0.5586894778482654,1.3739558754519379,-25.799197181818183,25.615620949090907,2896406
CLM,0.35993802139374487,1.0943786214841442,-22.206193600000002,23.811050972727273,2896406
ESN,-1.1014702122219189,1.8538184334078873,-32.46977919,30.856995789999996,2896406
FIN,0.4211640893599423,1.3270570906581989,-32.36669946666667,33.29602143333333,2896406
GBR,0.39183744254005026,1.3236377908192494,-25.507137925999995,27.356336399999996,2896406
GIH,0.40361960902346755,1.283410600817067,-23.870028525000002,39.3909815125,2896406
GWD,-1.0757138765260261,1.6621495727624807,-28.337398823529412,17.852715088235293,2896406
IBS,0.36290531696829886,1.8349320715772102,-60.3154504,84.24039473333333,2896406
ITU,0.40117845483902015,1.8418813537497951,-68.1972162,80.40227795333334,2896406
JPT,0.5845775973543413,1.3348645850210168,-19.84414285,25.785072375,2896406
KHV,0.5659101539399881,1.3304957368579127,-23.19896542307692,22.643331230769228,2896406
LWK,-1.0611672061153756,2.1154524103375594,-44.64677755,57.82284026666667,2896406
MKK,-0.7891763467035429,4.318026974033982,-290.79453,180.7691,2896406
MSL,-1.137002265586711,1.9434325274573998,-28.883268284444448,27.33593815444444,2896406
MXL,0.3981188124485328,2.063624358761188,-79.4269077,138.59035695,2896406
PEL,0.5279788154412475,1.465117582420691,-26.11537964,25.76254248,2896406
PJL,0.4121161575928893,1.1785105499848134,-22.35582207,25.22994333,2896406
PUR,0.20000185391833972,0.9668158669892242,-16.52933725,18.454448375,2896406
STU,0.4271232298546803,1.5376622986795674,-50.34455026,52.945291528,2896406
TSI,0.39538830949770876,1.4123255300776638,-22.6046831975,43.8457602875,2896406
YRI,-1.115232283602183,1.9576186368834965,-36.556309375,31.241820462499998,2896406
